"","Account Record Type","Account Name","Description","Billing State/Province","Billing Address Line 1","Billing Address Line 2","Billing City","Billing Zip/Postal Code","Ginsberg Partner Status","Category: Type","Category: Subtype","Account ID","Account Long Id","Category 1","Category 2","Category 3","Category 4","Category 5","Category 6","Category 7","Category 8","Category 9","Full_Address","latitude","longitude"
"1","Business Organization","ACCESS","With 11 locations and more than 120 programs serving metro Detroit, ACCESS offers a wide range of social, economic, health and educational services to a diverse population.","MI","2651 Saulino Court",NA,"Dearborn",48120,"Active","Community Priorities",NA,"0011R00002DtO8Q","0011R00002DtO8QQAV","Health & Wellbeing","Mental Health & Substance Abuse","Poverty & Economic Opportunity","Middle Childhood","Refugee and Immigrant Support","Adult Education","Refugee and Immigrant Support","Specific Cultural Focus",NA,"2651 Saulino Court, NA, Dearborn, MI, 48120",42.307175282532,-83.144192911286
"2","Business Organization","Bridges to HOPE","Bridges to HOPE is a partnership between St. John Providence (SJP), Society of St. Vincent de Paul (SVdP), and Catholic Charities of Southeast Michigan. Bridges to HOPE is a NO COST program offering life planning lessons for individuals interested in creating a more stable, secure future for their family. There are two sessions per week, on Tuesday and Thursday, for eight weeks. Each session is two hours long. Participants receive a stipend (commitment form required), a “Getting Ahead in a Just-Gettin’-By World” workbook, transportation (upon request), and meals at each workshop.","MI","4777 East Outer Drive, Suite 1345",NA,"Detroit",48234,"Active","Community Priorities",NA,"0011R000022p2Ni","0011R000022p2NiQAI","Poverty & Economic Opportunity",NA,NA,NA,NA,NA,NA,NA,NA,"4777 East Outer Drive, Suite 1345, NA, Detroit, MI, 48234",42.442272870076,-83.019883671319
"3","Business Organization","New Economy Initiative","The New Economy Initiative, a special project of the Community Foundation for Southeast Michigan, is a philanthropy-led entrepreneurial development strategy working to build an inclusive regional network of support for entrepreneurs and small businesses.","MI","333 West Fort Street, Suite 2010",NA,"Detroit",NA,"Lead","Community Priorities",NA,"0011R000022pcw3","0011R000022pcw3QAA","Poverty & Economic Opportunity",NA,NA,NA,NA,NA,NA,NA,NA,"333 West Fort Street, Suite 2010, NA, Detroit, MI, NA",42.329142993469,-83.050211995398
"4","Business Organization","Detroit Horse Power","Detroit Horse Power’s vision is to give at-risk youth a safe and enriching space that furthers their future development.","MI","2470 Collingwood St.",NA,"Detroit",48206,"Active","Community Priorities",NA,"0011R000022oyPn","0011R000022oyPnQAI","Health & Wellbeing","Middle Childhood","Adolescence",NA,NA,NA,NA,NA,NA,"2470 Collingwood St., NA, Detroit, MI, 48206",42.382198973737,-83.110915414575
"5","Business Organization","Liberate Don't Incarcerate","We are a group of multi-racial, multi-generational, and queer Washtenaw County residents who are committed to wellness, joy, and liberation for everyone in our county.","MI",NA,NA,"Ann Arbor",48104,"Active","Community Priorities",NA,"0011R00002cHOgG","0011R00002cHOgGQAW","Social Justice & Equity","Criminal Legal System","Community Organizing & Advocacy",NA,NA,NA,NA,NA,NA,"NA, NA, Ann Arbor, MI, 48104",42.271435,-83.7298639
"6","Business Organization","Human Trafficking Commission",NA,"MI","P.O. Box 30758",NA,"Lansing",48909,"Active","Community Priorities",NA,"0011R00002TmRYU","0011R00002TmRYUQA3","Social Justice & Equity",NA,NA,NA,NA,NA,NA,NA,NA,"P.O. Box 30758, NA, Lansing, MI, 48909",42.685486,-84.498648
"7","Business Organization","Central City Integrated Health","CCIH is a consortium of health resources and services consolidated in the Detroit/Wayne Counties to service their populations. As a patient-center medical home or healthcare center, CCIH provides integrated healthcare/wraparound healthcare services using research-based strategies of neighborhood intervention.","MI","10 Peterboro Street",NA,"Detroit",48201,"Active","Community Priorities",NA,"0011R00002TmRpE","0011R00002TmRpEQAV","Community Organizing & Advocacy","Health & Wellbeing","Poverty & Economic Opportunity",NA,NA,NA,NA,NA,NA,"10 Peterboro Street, NA, Detroit, MI, 48201",42.345427396868,-83.057079875403
"8","Business Organization","Groundcover News","Groundcover News is a weekly publication created to empower low-income persons to make the transitions from homeless to housed, and from jobless to employed. Street newspapers like Groundcover exist in cities all over the United States, as well as in more than 40 other countries, in an effort to raise awareness of the plight of homeless and combat the increase in poverty. Groundcover vendors help create its content and sell papers as a source of income.","MI","423 S. 4th Avenue",NA,"Ann Arbor",48104,"Active","Community Priorities",NA,"0011R00002VGu5V","0011R00002VGu5VQAT","Poverty & Economic Opportunity","Housing Access and Affordability",NA,NA,NA,NA,NA,NA,NA,"423 S. 4th Avenue, NA, Ann Arbor, MI, 48104",42.276967238764,-83.747031792881
"9","Business Organization","SummerWorks","SummerWorks is a collaborative summer youth employment program of OCED, MichiganWorks Southeast!, and U-M's Poverty Solutions.","MI","415 W Michigan Ave",NA,"Ypsilanti",48197,"Active","Community Priorities",NA,"0011R00002bWwqF","0011R00002bWwqFQAS","Poverty & Economic Opportunity","Adolescence",NA,NA,NA,NA,NA,NA,NA,"415 W Michigan Ave, NA, Ypsilanti, MI, 48197",42.240491375439,-83.618719607414
"10","Business Organization","Michigan Municipal League","The Michigan Municipal League is dedicated to making Michigan’s communities better by thoughtfully innovating programs, energetically connecting ideas and people, actively serving members with resources and services, and passionately inspiring positive change for Michigan’s greatest centers of potential: its communities.","MI","1675 Green Road",NA,"Ann Arbor",48105,"Active","Community Priorities",NA,"0011R00002TmhFp","0011R00002TmhFpQAJ","Community Organizing & Advocacy",NA,NA,NA,NA,NA,NA,NA,NA,"1675 Green Road, NA, Ann Arbor, MI, 48105",42.297247630682,-83.693159624791
