Account Name,Billing City,Billing State/Province,Full_Address,latitude,longitude,Flag Reason
Middle Ground,Thmassin 25,NA,"Angle Rues A. Vieux et Laleau, NA, Thmassin 25, NA, NA",,,No usable address on file - geocoder returned a shared bogus fallback point
Resource Generation,NA,MI,"NA, NA, NA, MI, NA",,,No usable address on file - geocoder returned a shared bogus fallback point
Justice InDeed,Ann Arbor,MI,"NA, NA, Ann Arbor, MI, NA",,,"Real address text, but geocoded to the wrong country entirely"
Positive Impact for Life,Grand Rapids,MI,"NA, NA, Grand Rapids, MI, NA",,,No usable address on file - geocoder returned a shared bogus fallback point
The Equitable Ann Arbor Land Trust,Ann Arbor,MI,"NA, NA, Ann Arbor, MI, NA",,,No usable address on file - geocoder returned a shared bogus fallback point
The McKinney Foundation,NA,NA,"NA, NA, NA, NA, NA",,,No usable address on file - geocoder returned a shared bogus fallback point
Our Village,NA,NA,"NA, NA, NA, NA, NA",,,No usable address on file - geocoder returned a shared bogus fallback point
Jotno Foundation,NA,NA,"NA, NA, NA, NA, NA",,,No usable address on file - geocoder returned a shared bogus fallback point
National Wild Turkey Federation - Michigan State Chapter,NA,NA,"NA, NA, NA, NA, NA",,,No usable address on file - geocoder returned a shared bogus fallback point
Refugee Garden Initiatives,NA,NA,"NA, NA, NA, NA, NA",,,No usable address on file - geocoder returned a shared bogus fallback point
Detroit Brownie,NA,NA,"NA, NA, NA, NA, NA",,,No usable address on file - geocoder returned a shared bogus fallback point
Breyko,NA,NA,"NA, NA, NA, NA, NA",,,No usable address on file - geocoder returned a shared bogus fallback point
Detroit Parent Network,NA,NA,"NA, NA, NA, NA, NA",,,No usable address on file - geocoder returned a shared bogus fallback point
Ele's Place,NA,NA,"NA, NA, NA, NA, NA",,,No usable address on file - geocoder returned a shared bogus fallback point
The Delian Club,NA,NA,"NA, NA, NA, NA, NA",,,No usable address on file - geocoder returned a shared bogus fallback point
Reproductive Freedom for All - Michigan,NA,NA,"NA, NA, NA, NA, NA",,,No usable address on file - geocoder returned a shared bogus fallback point
Concert Music Outreach Collective,NA,NA,"NA, NA, NA, NA, NA",,,No usable address on file - geocoder returned a shared bogus fallback point
Trinity Health Community Health and Wellbeing,NA,NA,"NA, NA, NA, NA, NA",,,No usable address on file - geocoder returned a shared bogus fallback point
Superhero Training Academy,NA,NA,"NA, NA, NA, NA, NA",,,No usable address on file - geocoder returned a shared bogus fallback point
Voce Velata,Ann Arbor,MI,"NA, NA, Ann Arbor, MI, NA",,,"Real address text, but geocoded to the wrong country entirely"
Greater Health Institute,NA,NA,"NA, NA, NA, NA, NA",,,No usable address on file - geocoder returned a shared bogus fallback point
Laotian American Community of Michigan,NA,NA,"NA, NA, NA, NA, NA",,,No usable address on file - geocoder returned a shared bogus fallback point
FutureRoot,NA,NA,"NA, NA, NA, NA, NA",,,No usable address on file - geocoder returned a shared bogus fallback point
Clubhouse Michigan,NA,NA,"NA, NA, NA, NA, NA",,,No usable address on file - geocoder returned a shared bogus fallback point
The SunBundle Nonprofit,NA,NA,"NA, NA, NA, NA, NA",,,No usable address on file - geocoder returned a shared bogus fallback point
