Account.Name,Website
ACCESS,https://www.accesscommunity.org/
Bridges to HOPE,https://www.detroitcatholic.com/news/bridges-to-hope-program-helps-break-down-the-cycle-of-poverty
New Economy Initiative,https://neweconomyinitiative.org/
Detroit Horse Power,https://www.detroithorsepower.org/
Liberate Don't Incarcerate,https://www.liberatedontincarcerate.org/
Human Trafficking Commission,https://www.michigan.gov/mhtc
Central City Integrated Health,https://www.centralcityhealth.com/
Groundcover News,https://www.groundcovernews.org/
SummerWorks,https://www.summerworks.info/
Michigan Municipal League,https://mml.org/
Detroit Green Task Force,https://www.detroitgreentaskforce.org/
Fresh Start Clubhouse,https://www.freshstartclubhouse.org/
Community Foundation for Southeast Michigan,https://cfsem.org/
Whitmore Lake Clinic - Hamilton Community Health Network,https://hamiltonchn.org/whitmore-lake-clinic/
Detroit Community Wealth Fund,https://www.detroitcommunitywealth.org/
Empowerment Plan,https://www.empowermentplan.org/home-mobile
"Give Merit, Inc.",https://givemerit.org/
Community Action Network,https://www.micommunityaction.org/
Ann Arbor District Library,https://aadl.org/
Washtenaw County Community Mental Health,https://www.washtenaw.org/community-mental-health
The Corner Health Center,https://cornerhealth.org/
Bhutanese Community of Michigan,https://bcofm.org/
Washtenaw County Water Resources Commissioner’s Office,https://www.washtenaw.org/water-resources
Ypsilanti District Library - Whittaker,https://www.ypsilibrary.org/
Oakland Livingston Human Services Agency,https://www.olhsa.org/en-us/
Detroit Health Department,https://detroitmi.gov/departments/detroit-health-department
Wayne Metropolitan Community Action Agency,https://www.waynemetro.org/
Warrior Women Against Poverty,https://cotsdetroit.org/warrior-women-against-poverty/
Brightmoor Alliance,https://www.brightmooralliance.org/
"Communities First, Inc. - Detroit Office",https://communitiesfirstinc.org/
Detroit VITALS (Virtual Intersystem Telemedicine and Lifestyles Services),https://detvit.weebly.com/
Redford Brightmoor Initiative,https://rbidetroit.org/
Birwood House,https://www.birwoodhouse.org/
Washtenaw Office of Community and Economic Development,https://www.washtenaw.org/community-economic-development
Jewish Family Services of Washtenaw County,https://www.jfsannarbor.org/
Ypsilanti District Library - Michigan,https://www.ypsilibrary.org/about/visit/ydl-michigan/
St. Joseph Mercy Home Care and Hospice,https://www.trinityhealthathome.org/mercy-home-health/home-care
Community Family Life Center,https://cflcypsi.org/
Chandler Park Conservancy,https://www.chandlerparkconservancy.org/
Detroit is Different,detroitisdifferentcommunitygroup
